Page URL,Structured data,Field,Issue description,Discovered
https://www.themetricapp.com/calculators/airbnb-host-net-income,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/airbnb-host-net-income,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/california-1099-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/california-1099-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/doordash-tax-estimator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/doordash-tax-estimator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/ebay-seller-fee-profit,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/ebay-seller-fee-profit,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/ecommerce-net-profit-margin,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/ecommerce-net-profit-margin,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/ev-charging-vs-gas-savings,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/ev-charging-vs-gas-savings,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/freelancer-platform-fee-comparison,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/freelancer-platform-fee-comparison,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/hourly-to-annual-salary-calculator-uk,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/hourly-to-annual-salary-calculator-uk,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/income-tax-calculator-uk,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/income-tax-calculator-uk,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/irs-mileage-deduction-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/irs-mileage-deduction-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/mortgage-calculator-uk,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/national-insurance-calculator-uk,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/paypal-fee-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/paypal-fee-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/residential-solar-panel-roi,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/residential-solar-panel-roi,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/self-assessment-tax-calculator-uk,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/side-hustle-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/side-hustle-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/solo-401k-contribution-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/solo-401k-contribution-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/stripe-fee-merchant-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/stripe-fee-merchant-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/texas-paycheck-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/texas-paycheck-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/us-import-tariff-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/us-import-tariff-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
https://www.themetricapp.com/calculators/vat-calculator-uk,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,28 May 2026 (08:21 UTC)
